sample_id,gene_frequency,tx_frequency
0510,17930,59137
0075,18251,68657
1205,19496,68806
0993,18984,69297
1039,18579,69707
1044,25570,70423
0373,18366,70791
0677,23073,71251
0994,19093,71296
0554,18565,71599
2953,23656,71805
0838,18770,71913
0681,19266,72126
4176,18727,72448
0700,21190,73055
1046,18847,73220
4023,22362,73371
0267,22816,73454
0018,18772,73455
1154,18835,73477
0623,18732,73670
4119,19338,73952
0989,22071,74196
1050,19436,74281
1070,20068,74518
4706,23227,76344
1038,19286,76654
4259,19530,77131
0558,19164,77487
1080,19766,77874
2822,20575,77929
1114,19356,78095
4130,19898,78184
0925,19408,78645
0713,19417,79212
1111,21286,79456
0786,21176,79615
4536,23151,80067
4129,21515,80664
0635,22596,81297
0830,21949,81312
0881,20364,81390
0012,21161,81613
0085,20402,81701
0658,24364,82205
0678,23223,83135
